,Brand,Model,Price,Engine Capacity,Classification,Registration Date,COE Expiry Date,Mileage,No. of owners,Type of Vehicle,Listing Details,Price (06-Jul-2022),Price (07-Jul-2022),Price (08-Jul-2022),Price (12-Jul-2022)
110,Harley Davidson,Harley Davidson SuperLow,SGD$18800,883cc,Class 2,27-Jul-16,26-Jul-26,13300km,2,Cruiser," Very Easy To handle And Fun Riding Around !!!2016 Harley Davidson SuperLow ( ABS ). 2 Owner'sFull Servicing Done With HD Singapore.Excellent Condition With Genuine Low Mileage Of 13,300Km Only. Viewing Is Highly Recommended.Please Feel Free To Call/Visit Us With No Obligations. AccessoriesRemus Exhaust With LTA Approved Letter.Degner (Japan Brand) Saddle Bag.HD Engine Highway Guard Crash Bars. Biltwell Diamond Solo Seat. Etc.....",SGD$18800,SGD$18800,SGD$18800,SGD$18800
111,Yamaha,Yamaha FZ1-S,SGD$9800,998cc,Class 2,24-Apr-07,31-Oct-26,71000km,1,Street Bikes," Used Yamaha FZ1-S (10/2026) Renewable For Sales.- $0 Down Payment Plan - Flexible Installment Plan- Low Interest Rate- High Trade In Value - No Hidden Cost - Price Break DownBike Is Well Taken Care By Previous Owner.Low Mileage.Accident Free.See It To Believe It.Grab It Before It Gone.Cash Or Installment Plan Is Available.Come On Down To View It And Also Have A Try-on The Bike.✅Your One Stop Solution ✅For More Enquires Do Feel Free To DM Us Or Whatsapp Our Salesman.Junwei - 96376942Asher-89238139Office -69040460Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon - Fri (10 am - 8 pm)Sat (10 am - 6 pm)Sun (Closed)*Terms & Condition Apply ",SGD$9800,SGD$9800,SGD$9800,SGD$9800
112,Suzuki,Suzuki GSX-R1300 Hayabusa,SGD$22800,1340cc,Class 2,10-Mar-16,9-Mar-26,-,3,Sport Bikes, Pre Own Suzuki Hayabusa GSX1300R For Sale! Well Maintain By Previous Owner.Instalment Plan Available In Our Shop.Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 Accessories- Legal Yoshimura Exhaust- Silder- Front Brembo Brake Caplier.,SGD$22800,,SGD$22800,SGD$22800
113,Honda,Honda CB300R,SGD$13500,286cc,Class 2A,13-Nov-18,12-Nov-28,-,- ,Street Bikes, Honda CB300R For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$13500,SGD$13500,SGD$13500,SGD$13500
114,Honda,Honda CBR150R,SGD$7000,150cc,Class 2B,9-Dec-11,30-Nov-26,1km,- ,Sport Bikes, Honda CBR150R For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$7000,SGD$7000,SGD$7000,SGD$7000
115,Ducati,Ducati Hypermotard 796,SGD$15800,803cc,Class 2,24-May-10,23-May-30,-,2,Super Motards," 2010 Ducati Hypermotard 796 For Sale.COE Till May 2030.Prices Are Negotiable. Trade In Or Loan Available. Viewing Will Be At: Dynasty Motor Pte Ltd @ Kaki Bukit, Synergy @ Kb, 25 Kaki Bukit Road 4 #01-82 S'pore 417800. ",SGD$15800,SGD$15800,SGD$15800,SGD$15800
116,Yamaha,Yamaha XT1200Z Super Tenere,SGD$17800,1199cc,Class 2,23-Feb-12,30-Sep-30,-,3,Sport Tourers, Pre Own Yamaha Super Tenere 1200 For Sale!Well Maintain By Previous Owner. Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 Accessories-2 Side Panel -Legal Leovince Exhaust-Crashbar-Foglight,SGD$17800,SGD$17800,SGD$17800,SGD$17800
117,Ducati,Ducati Monster 1100S,SGD$19500,1079cc,Class 2,25-May-10,24-May-30,44000km,3,Street Bikes," Ducati Monster 1100S For Sale.Literally A Monster With Dry Clutch.Coe Expires May 2030.Road Tax Expires Till Nov 2022. Using Skyrich Battery - Light And Robust. Feel Free To Query Me And Arrange A Non-obligatory Viewing. Trade With Mv Agusta F4, Aprilia RS250 Y2K, Aprilia Rsv1000 Very Welcome. Loan Can Be Arranged / Referred.Many Spares - Both Stock And Aftermarket To Go Along With The Sale. AccessoriesCNC Clutch Slave Cylinder.Ohlins 43Mm Forks.Ohlins Rear Shock.Carbon Fiber Cam Belt Covers.Carbon Fiber Silencer Guards.Carbon Fiber Front Mudguard.Gold 5 Y-spoke Marchesini Wheels. Brembo Brakes. Rizoma Mirrrors. Rizoma Handle Grips. Rizoma Levers.Rizoma Brake Fluid Reservoir.Rizoma Tail Tidy.K&N Air Filter. Optional Add-on Termignoni Carbon Fiber Slip On Exhaust @ $600 (Non - Legal)",SGD$19500,SGD$19500,SGD$19500,SGD$19500
118,Triumph,Triumph Tiger 800 XC,SGD$6800,800cc,Class 2,20-Jan-14,19-Jan-24,109300km,- ,Sport Tourers," Most Value For Money Middleweight Adventure Bike!Triumph Tiger 800XC Special Edition With Red Color Chassis.Mature Careful Owner.Full Serviced By Local Triumph Agent. Excellent Condition With Genuine Mileage Of 109,300km. Viewing Is Highly Recommended.Please Call/Visit Us With No Obligations. Accessories2 x Givi Touring Cases.Givi Engine Crash Bar Protectors. Headlight Protector.Koso Volt Meter. Etc.....",SGD$6800,SGD$6800,SGD$6800,
119,Yamaha,Yamaha FZ16,SGD$7222,153cc,Class 2B,16-Jan-12,15-Jan-27,-,- ,Street Bikes," Yamaha FZ16 For Sale.Showroom Condition.View To Appreciate.Trade/Loan Available. View At C.S.T.K Pte Ltd, 481 Geylang Road.Call/View To Neg. ",SGD$7222,SGD$7222,SGD$7222,SGD$7222
120,Yamaha,Yamaha Nmax 155,SGD$9000,155cc,Class 2B,25-Jan-17,24-Jan-27,-,- ,Scooters, Yamaha Nmax155 For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$9000,SGD$9000,SGD$9000,SGD$9000
121,Suzuki,Suzuki DRZ400SM,SGD$16800,398cc,Class 2A,10-Apr-12,9-Apr-32,76000km,3,Super Motards, Pre Own Suzuki DRZ400SM For Sale.Well Maintain By Previous Owner.Fully Stock Condition.Instalment Plan Available In Our Shop.Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 ,SGD$16800,,SGD$16800,SGD$16800
122,Yamaha,Yamaha Aerox 155,SGD$10900,155cc,Class 2B,15-Oct-19,14-Oct-29,-,- ,Scooters, Yamaha Aerox 155 ABS For Sale.Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$10900,SGD$10900,SGD$10900,SGD$10900
123,Honda,Honda CB400F,SGD$9500,399cc,Class 2A,26-Feb-15,25-Feb-25,83000km,2,Street Bikes," Honda CB400F For Sale. COE Expiry Till Feb 2025Currently On Lay-up Status. Cash Or Financing Option Available.No Admin Fee, Early Settlement Fee.Viewing At: 1008 Bukit Merah Lane 3 #01-18 Singapore 159722Call Us At Tel: 64793126 ",SGD$9500,SGD$9500,SGD$9500,SGD$9500
124,Yamaha,Yamaha Jupiter Z1 115,SGD$7555,114cc,Class 2B,16-Jan-17,15-Jan-27,-,- ,Cubs," Auto Yamaha Jupiter Z1 115 With No Clutch.Showroom Condition.1 Owner.View To Appreciate.Trade/Loan Available. View At C.S.T.K Pte Ltd, 481 Geylang Road.Call/View To Neg. ",SGD$7555,SGD$7555,SGD$7555,SGD$7555
125,Honda,Honda CB400 Super 4 Revo,SGD$7500,399cc,Class 2A,20-Dec-12,19-Dec-22,107752km,4,Street Bikes, Honda CB400 Super 4 Revo For Sale. Welcome Trade In. Loan Available. Ambra Enterprises Is Located:Blk 5034 Ang Mo Kio Industrial Park 2 #01-327. AccessoriesYoshi Exhaust Full System With Cert.Asv Levers. Koso Volt.Fuel Cap.Crash Bars.IU.Belly Cover Full Carbon Fiber Wrap.TSR Fork Brace.,SGD$7500,SGD$7500,SGD$7500,SGD$7500
126,MV Agusta,MV Agusta Stradale 800,SGD$15500,798cc,Class 2,10-Apr-17,9-Apr-27,45478km,1,Street Bikes, MV Agusta Stradale 800 For Sale.Trade In/Loan Of Vehicle Available.Interested Buyers Are Welcome To Neg.Come Visit M1 Motoring Changi. ,SGD$15500,,SGD$15500,SGD$15500
127,Honda,Honda NC750XA,SGD$23800,745cc,Class 2,25-Feb-21,24-Feb-31,2611km,1,Sport Tourers," Used Honda NC750XA For Sale.COE Till (02/2031).- $0 Down Payment Plan - Flexible Installment Plan- Low Interest Rate- High Trade In Value - No Hidden Cost - Price Break DownBike Is Well Taken Care By Previous Owner.Low Mileage.Accident Free.See It To Believe It.Grab It Before It Gone.Cash Or Installment Plan Is Available.Come On Down To View It And Also Have A Try-on The Bike.✅Your One Stop Solution ✅For More Enquires Do Feel Free To DM Us Or Whatsapp Our Salesman.Junwei - 96376942Office -69040460Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon - Fri (10 am - 8 pm)Sat (10 am - 6 pm)Sun (Closed)*Terms & Condition Apply ",SGD$23800,SGD$23800,SGD$23800,SGD$23800
128,BMW,BMW R18 Classic,SGD$61800,1802cc,Class 2,24-Dec-21,23-Dec-31,1500km,1,Cruiser," Unstoppable Iconic Cruiser!One Owner. BMW R18 First Edition With Reverse Gear.Fuel Tank With Double White Color Pinstriping. Adaptive LED Headlight And Day Time Running Light.Digital Instruments With Gear Indicator.3 Riding Modes ( Rain , Roll , Rock )Hill Start Control To Prevent Rolling Down.Keyless Ride, Cruise Control, Heated Grips. Genuine Mileage Of 1,500km Only.Showroom Condition With 5years PML Local BMW Agent Warranty.Option To Purchase With Nice Matching Number FBT18X. View To Appreciate It.Please Call/Visit Us With No Obligations.BMW Make Life A Ride....... AccessoriesBMW Rider Big Footboard With Heel Shifter. Etc....",SGD$61800,SGD$61800,SGD$61800,SGD$60800
129,BMW,BMW R NineT Scrambler,SGD$33800,1170cc,Class 2,21-Nov-17,20-Nov-27,13800km,1,Street Bikes," Unstoppable Heritage Roadster!1 Expat Owner.BMW R NineT Scrambler ( ABS + ASC ) With Raw Welding Aluminium Fuel Tank.Excellent Condition With Genuine Low Mileage Of 13,800km Only.Full Serviced Record With PML Local BMW Agent.Viewing Is Strongly Recommended.Feel Free To Visit/Call Us With No Obligations.BMW Motorrad Make Life a Ride...... AccessoriesAluminium Fuel Tank With Raw Welding.Akaprovic Exhaust With LTA Approved. BMW Cylinder Cover Protectors. Etc......",SGD$33800,SGD$33800,SGD$33800,SGD$33800
130,BMW,BMW R1200GS Adventure,SGD$34088,1170cc,Class 2,13-Jul-16,12-Jul-26,21175km,1,Sport Tourers," PML BMW R1200GS Adventure For Sale. Super Low Mileage.Price Excluding Insurance, Rd Tax & LTA Fees.First Come First Served. Boarder Open, Need Bike To Whack Across The Bridge.Viewing Will Be At: Dynasty Motor Pte Ltd @ Kaki Bukit, Synergy @ Kb, 25 Kaki Bukit Road 4 #01-82 S'pore 417800. AccessoriesComplete Boxes (1 Top & 2 Side Panniers)",SGD$34088,,,
131,Yamaha,Yamaha Jupiter MX135,SGD$7500,134cc,Class 2B,9-Jul-12,8-Jul-22,-,- ,Cubs, Yamaha Jupiter MX135 For Sale.Come With New 5 Years COE.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$7500,,,SGD$7500
132,Harley Davidson,Harley Davidson Low Rider S,SGD$49800,1868cc,Class 2,19-May-21,18-May-31,2800km,1,Cruiser," The Most Unique Softail Designs! Harley Davidson Low Rider S Glossy Vivid Black Color. Milwaukee 8 Engine 114-Cubic Incher. One Meticulous Owner. Showroom Condition With Very Low Mileage Of 2,800km Only.Fully Serviced And Warranty By HDS Agent. Buyer Will Get New Series Number. Viewing Is Highly Recommended. Please Call/Visit Us With No Obligations. ",SGD$49800,SGD$49800,SGD$49800,SGD$49800
133,Yamaha,Yamaha XG250 Tricker,SGD$10000,249cc,Class 2A,10-Jun-08,31-Dec-27,6100km,- ,Scrambler/Dirt Bike, Yamaha XG250 Tricker For Sale.Consignment Unit By Owner. AccessoriesLta Approved Delta Full System.Ohlins Rear Shock.Full Cerakote On Exhaust.Carbon Fibre Exhaust Heat Shield.Xl Fuel Tank (7L).,SGD$10000,SGD$10000,SGD$10000,SGD$10000
134,Honda,Honda CBF190X Fighthawk,SGD$9000,184cc,Class 2B,22-Apr-17,21-Apr-27,-,- ,Sport Tourers, Honda CB190F Fighthawk For Sale.Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$9000,SGD$9000,SGD$9000,SGD$9000
135,Suzuki,Suzuki Burgman 400 ABS,SGD$8800,400cc,Class 2A,23-Dec-16,22-Dec-26,76000km,2,Scooters," Used Suzuki Burgman 400 ABS For Sale.COE Till (12/2026).- $0 Down Payment Plan - Flexible Installment Plan- Low Interest Rate- High Trade In Value - No Hidden Cost - Price Break DownBike Is Well Taken Care By Previous Owner.Low Mileage.Accident Free.See It To Believe It.Grab It Before It Gone.Cash Or Installment Plan Is Available.Come On Down To View It And Also Have A Try-on The Bike.✅Your One Stop Solution ✅For More Enquires Do Feel Free To DM Us Or Whatsapp Our Salesman.Junwei - 96376942Asher-89238139Office -69040460Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon - Fri (10 am - 8 pm)Sat (10 am - 6 pm)Sun (Closed)*Terms & Condition Apply ",SGD$8800,SGD$8800,SGD$8800,SGD$8800
136,SYM,SYM HD2 200I,SGD$1800,172cc,Class 2B,26-Aug-13,25-Aug-23,-,- ,Scooters, SYM HD2 200I For Sale.Selling As Per Condition(As Is Where Is Basis).Interested Parties Are Welcome To Neg.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee. ,SGD$1800,SGD$1800,SGD$1800,SGD$1800
137,CFMoto,CFMoto 700CL-X Sport,SGD$23999,693cc,Class 2,19-May-22,18-May-32,3000km,1,Street Bikes, As Good As New CFMoto 700CL-X Sport!Full Stock. Never Dropped. Always Parked Under Shelter.View To Believe.Trade/Loan Available.Contact Us Today! ,SGD$23999,SGD$23999,SGD$23999,SGD$23999
138,SYM,SYM Maxsym 400i,SGD$2200,400cc,Class 2A,23-Oct-13,22-Oct-23,-,- ,Scooters, SYM Maxsym 400i For Sale.Selling As Per Condition(As Is Where Is Basis).Interested Parties Are Welcome To Neg.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee. ,SGD$2200,,,
139,Yamaha,Yamaha MT-10,SGD$21888,998cc,Class 2,17-Jun-16,16-Jun-26,71986km,1,Street Bikes, 2016 Yamaha MT-10 For Sale.Mint Condition. The Powerful Street Bike. View To Believe.Trade/Loan Available.Contact Us Today! AccessoriesAkraprovic Exhaust With Cert.R&G Tank Pad.LED Signal Light.Aftermarket Brake And Clutch Lever,SGD$21888,SGD$21888,SGD$21888,SGD$21888
140,SYM,SYM Maxsym 400i,SGD$7500,400cc,Class 2A,14-May-12,13-May-22,-,- ,Scooters, SYM Maxsym 400i For Sale.Price Include New 5 Years PQP For COE! Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$7500,SGD$7500,SGD$7500,SGD$7500
141,Yamaha,Yamaha Aerox 155,SGD$9300,155cc,Class 2B,29-Nov-19,28-Nov-29,-,- ,Scooters, Yamaha Aerox 155 For Sale.Downpayment $500 Or $0 Without Insurance (Terms And Conditions Apply).Pls Drop By De Xing Motor Pte Ltd For QuotationWe Will Give You The Best Quote And Any Information You Need.Block 3006 Ubi Road 1 #01-356 S408700.Please Call 67468582 ,SGD$9300,SGD$9300,SGD$9300,SGD$9300
142,Gilera,Gilera ST200 Runner,SGD$2800,198cc,Class 2B,17-Apr-13,16-Apr-23,-,- ,Scooters, Gilera ST200 Runner For Sale.Downpayment $500 Or $0 Without Insurance (Terms And Conditions Apply).Pls Drop By De Xing Motor Pte Ltd For QuotationWe Will Give You The Best Quote And Any Information You Need.Block 3006 Ubi Road 1 #01-356 S408700.Please Call 67468582 ,SGD$2800,SGD$2800,SGD$2800,SGD$2800
143,Yamaha,Yamaha YZF-R1,SGD$15800,998cc,Class 2,7-Aug-14,6-Aug-24,33000km,4,Sport Bikes, Pre Own Yamaha R1 For Sale!Well Maintain By Previous Owner. Low Mileage. Instalment Plan Available In Our Shop.Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 AccessoriesLegal Akrapovic Exhaust.Gb Racing Engine Cover.Silder.Wheel Axle Front& Rear.,SGD$15800,,SGD$15800,Carry On Installment
144,Yamaha,Yamaha MT-07,SGD$9999,689cc,Class 2,18-Dec-14,17-Dec-24,32479km,- ,Street Bikes," Original Paintwork MT-07 For Sale. 1 Owner. Good Showroom Condition.View To Appreciate.Trade/Loan Available. View At C.S.T.K Pte Ltd, 481 Geylang Road.Call/View To Neg. ",SGD$9999,SGD$9999,SGD$9999,SGD$9999
145,Harley Davidson,Harley Davidson Iron 883,SGD$24888,883cc,Class 2,5-Mar-20,4-Mar-30,39746km,- ,Cruiser, Used Harley-Davidson Iron 883 For Sale!* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call Or Pm Us For Free Quotation Free Servicing / FreebiesPlease Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 :25 Kaki Bukit Road 4 Synergy @ Kb#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$24888,,,
146,Yamaha,Yamaha YZF-R6,SGD$11888,599cc,Class 2,7-Apr-08,31-Mar-27,148541km,- ,Sport Bikes, Used Yamaha R6 For Sale!* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies please contact our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$11888,SGD$11888,SGD$11888,SGD$11888
147,Mutt,Mutt Hilts Green 125,SGD$14500,125cc,Class 2B,11-Jun-20,10-Jun-30,2000km,2,Street Bikes, Used Mutt Motorcycle. 125 Hilts Green & Grey.Extremely Low Mileage. Condition As Good As New.Used For Weekend Rides Only.Selling As Migrating Overseas.Comes With;- 2 X Key- Original ManualSelling Price Or Whoever Highest.PM For Viewing ,SGD$14500,SGD$14500,SGD$14500,SGD$14500
148,Honda,Honda CBF190X Fighthawk,SGD$7800,184cc,Class 2B,20-Jul-17,19-Jul-27,110000km,1,Sport Tourers," Used Honda CBF190X Fighthawk For Sale.COE Till (07/2027).- $0 Down Payment Plan - Flexible Installment Plan- Low Interest Rate- High Trade In Value - No Hidden Cost - Price Break DownBike Is Well Taken Care By Previous Owner.Low Mileage.Accident Free.See It To Believe It.Grab It Before It Gone.Cash Or Installment Plan Is Available.Come On Down To View It And Also Have A Try-on The Bike.✅Your One Stop Solution ✅For More Enquires Do Feel Free To DM Us Or Whatsapp Our Salesman.Junwei - 96376942Asher-89238139Office -69040460Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon - Fri (10 am - 8 pm)Sat (10 am - 6 pm)Sun (Closed)*Terms & Condition Apply ",SGD$7800,SGD$7800,SGD$7800,SGD$7800
149,Yamaha,Yamaha MT-09 Tracer,SGD$18800,847cc,Class 2,8-Aug-16,7-Aug-26,-,- ,Sport Tourers, Yamaha MT-09 Tracer For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$18800,,SGD$18800,SGD$18800
150,Honda,Honda CB400X,SGD$11800,399cc,Class 2A,17-Dec-15,16-Dec-25,-,- ,Sport Tourers, Honda CB400X For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$11800,SGD$11800,SGD$11800,SGD$11800
151,Yamaha,Yamaha Sniper 150,SGD$7800,150cc,Class 2B,16-May-17,15-May-27,-,- ,Cubs, Yamaha Sniper 150 For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$7800,SGD$7800,SGD$7800,SGD$7800
152,KTM,KTM 200 Duke,SGD$4800,200cc,Class 2B,14-Sep-15,13-Sep-25,-,4,Street Bikes, Pre Own KTM Duke 200 For Sale!Why Buy From Us??•Flexible Instalment Payment•We Do Not Have Early Settlement Penalty Regardless Of Selling The Bike To Another New Owner Or Full Settlement From Other Bike Shop.•No Hidden Cost•Positive Facebook Page Reviews On Our Sales Side With Zero Complaint From Customers Regards To Hidden Cost Or High Penalty Charges! PM Us For More Information! Viewing At Soon Hin Motors Pte Ltd. Address: Yishun Industrial Park A Block 1018 S768760. Tel 67524893. We Accept Trade In And Many Other Brands New And Used Models Available For Sale. Accessories-LTA Approve Arrow Exhaust System,SGD$4800,SGD$4800,,
153,Honda,Honda Rebel 500,SGD$13800,471cc,Class 2,21-May-18,20-May-28,42653km,1,Street Bikes, Honda Rebel 500 For Sale.Trade In/Loan Of Vehicle Available.Interested Buyers Are Welcome To Neg.Come Visit M1 Motoring Changi. ,SGD$13800,SGD$13800,SGD$13800,SGD$13800
154,Yamaha,Yamaha XSR155,SGD$14500,155cc,Class 2B,8-Mar-21,7-Mar-31,-,- ,Street Bikes, Yamaha XSR155 For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$14500,,SGD$14500,SGD$14500
155,Yamaha,Yamaha Tmax 530,SGD$13588,530cc,Class 2,29-Aug-16,28-Aug-26,85920km,- ,Scooters, Used Yamaha T-Max 530 For Sale!* Price Before Insurance Only.𝙒𝙝𝙮 𝘾𝙝𝙤𝙤𝙨𝙚 𝙐𝙨 : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies𝙎𝙖𝙡𝙚𝙨 𝙀𝙣𝙦𝙪𝙞𝙧𝙞𝙚𝙨 please contact our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915𝙎𝙝𝙤𝙬𝙧𝙤𝙤𝙢 𝘼𝙙𝙙𝙧𝙚𝙨𝙨 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$13588,SGD$13588,SGD$13588,SGD$13588
156,Honda,Honda Forza 300,SGD$16888,279cc,Class 2A,12-Mar-21,11-Mar-31,48812km,- ,Scooters, Used Honda Forza 300 For Sale!* Price Before Insurance Only.𝙒𝙝𝙮 𝘾𝙝𝙤𝙤𝙨𝙚 𝙐𝙨 : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies𝙎𝙖𝙡𝙚𝙨 𝙀𝙣𝙦𝙪𝙞𝙧𝙞𝙚𝙨 please contact our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915𝙎𝙝𝙤𝙬𝙧𝙤𝙤𝙢 𝘼𝙙𝙙𝙧𝙚𝙨𝙨 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$16888,,SGD$17388,SGD$17388
157,Honda,Honda NT700V Deauville,SGD$12500,680cc,Class 2,13-Nov-09,12-Nov-29,-,- ,Sport Tourers, Honda NT700VA For Sale.Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$12500,SGD$12500,SGD$12500,SGD$12500
158,Honda,Honda NC750X,SGD$14800,745cc,Class 2,15-Nov-16,14-Nov-26,50000km,1,Sport Tourers, Used Honda NC750X LED Version For Sale. Well Taken Care By Previous Owner.Regular Servicing Done.View To Believe. Visit 36 Toh Guan Road East #01-32 Enterprise Hub Singapore 608580Call/Whatsapp Raymond/93225410 AccessoriesCrush Guard.Top Box,SGD$14800,SGD$14800,SGD$14800,SGD$14800
159,Yamaha,Yamaha FZ8-N,SGD$4900,779cc,Class 2,31-Jan-13,30-Jan-23,-,- ,Street Bikes, Yamaha FZ8-N For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$4900,SGD$4900,SGD$4900,SGD$4900
160,MV Agusta,MV Agusta Brutale 800 RR,SGD$42888,798cc,Class 2,2-Jun-21,1-Jun-31,1868km,- ,Street Bikes, Used MV Agusta Brutale 800RR For Sale.* Price Before Insurance Only.𝙒𝙝𝙮 𝘾𝙝𝙤𝙤𝙨𝙚 𝙐𝙨 : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies𝙎𝙖𝙡𝙚𝙨 𝙀𝙣𝙦𝙪𝙞𝙧𝙞𝙚𝙨 please contact our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915𝙎𝙝𝙤𝙬𝙧𝙤𝙤𝙢 𝘼𝙙𝙙𝙧𝙚𝙨𝙨 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 9097 ,SGD$42888,,SGD$42888,SGD$42888
161,Honda,Honda CB1300SA,SGD$12500,1284cc,Class 2,17-Sep-05,31-Mar-25,-,- ,Street Bikes, Honda CB1300 SA For Sale.Downpayment $500 Or $0 Without Insurance (Terms And Conditions Apply).Pls Drop By De Xing Motor Pte Ltd For QuotationWe Will Give You The Best Quote And Any Information You Need.Block 3006 Ubi Road 1 #01-356 S408700.Please Call 67468582 ,SGD$12500,SGD$12500,SGD$12500,SGD$12500
162,Triumph,Triumph Tiger 1050,SGD$11000,1050cc,Class 2,9-Sep-11,31-Jul-31,-,- ,Sport Tourers, Triumph Tiger 1050 For Sale.Downpayment $500 Or $0 Without Insurance (Terms And Conditions Apply).Pls Drop By De Xing Motor Pte Ltd For QuotationWe Will Give You The Best Quote And Any Information You Need.Block 3006 Ubi Road 1 #01-356 S408700.Please Call 67468582 ,SGD$11000,SGD$11000,SGD$11000,SGD$11000
163,Honda,Honda CB190R,SGD$8500,184cc,Class 2B,23-Jan-17,22-Jan-27,-,- ,Street Bikes, Honda CB190R For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$8500,SGD$8500,SGD$8500,SGD$8500
